Datum,Bundesland,Behandlungsgruppe,Anzahl_Meldebereiche,"Aktuelle_COVID_Faelle_ITS",Belegte_Intensivbetten,Freie_Intensivbetten,7_Tage_Notfallreserve,"Freie_IV_Kapazitaeten_Gesamt","Freie_IV_Kapazitaeten_Davon_COVID","Betriebssituation_Regulaerer_Betrieb","Betriebssituation_Teilweise_Eingeschraenkt","Betriebssituation_Eingeschraenkt","Betriebssituation_Keine_Angabe","faelle_covid_erstaufnahmen"
"2020-05-23T12:15:00+02:00",DEUTSCHLAND,KINDER,74,3,563,298,0,211,0,57,5,5,7,NA
"2020-05-24T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1345,896,18969,11945,0,8535,0,1008,100,83,154,NA
"2020-05-24T12:15:00+02:00",DEUTSCHLAND,KINDER,74,4,558,296,0,212,0,54,5,6,9,NA
"2020-05-25T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1347,883,19024,11980,0,8566,0,1012,100,88,147,NA
"2020-05-25T12:15:00+02:00",DEUTSCHLAND,KINDER,75,2,589,310,0,216,0,55,5,6,9,NA
"2020-05-26T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1348,810,19559,11325,0,8178,0,1009,100,90,149,NA
"2020-05-26T12:15:00+02:00",DEUTSCHLAND,KINDER,76,6,605,314,0,222,0,56,5,6,9,NA
"2020-05-27T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1346,749,19822,10984,0,7912,0,1020,95,85,146,NA
"2020-05-27T12:15:00+02:00",DEUTSCHLAND,KINDER,77,2,632,285,0,200,0,57,5,6,9,NA
"2020-05-28T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1346,723,19919,10846,0,7897,0,1016,91,86,153,NA
"2020-05-28T12:15:00+02:00",DEUTSCHLAND,KINDER,76,3,618,297,0,204,0,58,3,5,10,NA
"2020-05-29T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1345,722,19847,10847,0,7809,0,1012,96,84,153,NA
"2020-05-29T12:15:00+02:00",DEUTSCHLAND,KINDER,77,3,619,305,0,210,0,56,7,5,9,NA
"2020-05-30T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1344,711,19752,10961,0,7960,0,1002,96,86,160,NA
"2020-05-30T12:15:00+02:00",DEUTSCHLAND,KINDER,77,5,601,322,0,215,0,57,6,5,9,NA
"2020-05-31T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1344,697,19087,11557,0,8296,0,1004,91,88,161,NA
"2020-05-31T12:15:00+02:00",DEUTSCHLAND,KINDER,77,2,602,318,0,210,0,56,8,4,9,NA
"2020-06-01T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1344,696,19022,11628,0,8320,0,999,97,85,163,NA
"2020-06-01T12:15:00+02:00",DEUTSCHLAND,KINDER,77,2,595,328,0,210,0,55,9,4,9,NA
"2020-06-02T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1341,691,19091,11528,0,8324,0,1017,86,83,155,NA
"2020-06-02T12:15:00+02:00",DEUTSCHLAND,KINDER,77,3,603,326,0,210,0,54,9,4,10,NA
"2020-06-03T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1341,631,19789,10895,0,7962,0,1006,93,87,155,NA
"2020-06-03T12:15:00+02:00",DEUTSCHLAND,KINDER,77,4,627,291,0,184,0,49,11,8,9,NA
"2020-06-04T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1341,595,20109,10550,0,7652,0,1010,93,88,150,NA
"2020-06-04T12:15:00+02:00",DEUTSCHLAND,KINDER,77,5,623,288,0,189,0,50,10,7,10,NA
"2020-06-05T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1340,584,20188,10455,0,7602,0,996,98,92,154,NA
"2020-06-05T12:15:00+02:00",DEUTSCHLAND,KINDER,76,4,609,291,0,189,0,52,9,5,10,NA
